age_years,min,availability_ratio,offensive_efficiency,progressive_actions,position,compition,value_tier
22,1948.0,0.8846153846153846,6.6,108.0,"MF,FW",Premier League,High
35,2520.0,1.0,2.2,167.0,DF,Ligue 1,High
23,1261.0,0.7,108.0,0.26,"MF,FW",Ligue 1,High
23,2336.0,1.0,2.3,168.0,MF,Ligue 1,High
30,1551.0,0.95,9.4,10.02,MF,Ligue 1,Mid
20,600.0,0.7,4.1,12.7,FW,Ligue 1,Low
22,366.0,0.7142857142857143,20.0,,DF,La Liga,Mid
23,1995.0,0.8214285714285714,10.399999999999999,129.0,"FW,MF",Ligue 1,High
25,1743.0,0.7407407407407407,12.4,66.0,FW,Serie A,High
35,1605.0,0.85,24.2,17.03,DF,Serie A,Mid
31,1328.0,0.7142857142857143,1.8,34.3,DF,La Liga,Low
26,1873.0,0.88,8.7,44.0,FW,Premier League,High
24,2156.0,1.0,155.0,0.06,MF,Premier League,High
29,633.0,0.18181818181818182,4.2,34.0,"FW,MF",Bundesliga,Low
25,1185.0,0.8666666666666667,40.2,7.08,DF,Premier League,Mid
21,799.0,0.75,4.5,48.0,"FW,MF",Bundesliga,Mid
22,923.0,0.5294117647058824,4.8,34.6,"FW,MF",Bundesliga,Mid
26,1011.0,0.4782608695652174,2.7,70.0,"FW,MF",Serie A,Mid
20,605.0,0.3125,62.0,,"FW,MF",Serie A,High
25,1705.0,0.9047619047619048,12.6,64.08,DF,Ligue 1,High
22,405.0,0.8,0.0,,GK,La Liga,Low
21,646.0,0.8888888888888888,6.5,,MF,Ligue 1,Mid
26,1298.0,0.5416666666666666,2.1,113.0,MF,La Liga,Mid
24,1788.0,0.8076923076923077,64.2,80.06,"MF,FW",Serie A,High
26,875.0,0.9,5.0,0.25,DF,Premier League,Low
29,868.0,0.625,70.0,0.13,DF,Ligue 1,Mid
20,1398.0,1.0,1.6,45.1,MF,Bundesliga,High
29,1064.0,0.5909090909090909,2.0,23.9,MF,Ligue 1,Low
27,2323.0,1.0,70.8,10.08,DF,La Liga,High
26,807.0,0.5625,2.7,72.0,DF,Serie A,Mid
21,1031.0,0.45,2.4,106.0,DF,Premier League,Mid
22,1299.0,0.7777777777777778,25.0,0.05,DF,Serie A,Mid
24,763.0,1.0,,,DF,Premier League,Mid
29,771.0,0.6923076923076923,4.3,15.0,FW,Ligue 1,Low
29,647.0,0.8888888888888888,3.1,18.0,FW,Bundesliga,Low
27,1631.0,0.85,21.4,10.06,DF,Premier League,Mid
28,1513.0,0.8095238095238095,48.0,0.16,DF,Premier League,High
25,2115.0,1.0,4.9,139.0,DF,La Liga,High
21,307.0,0.5714285714285714,31.0,,"MF,FW",Ligue 1,Mid
30,922.0,0.6875,45.0,0.09,MF,Serie A,Mid
27,1381.0,0.6666666666666666,38.0,0.12,DF,Bundesliga,Mid
30,1545.0,0.8947368421052632,1.8,74.0,DF,La Liga,Mid
34,999.0,0.625,1.2,36.8,DF,La Liga,Low
