player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,22,2000,26,23,1948.0,1.0,2.0,2.9,3.7,2.9,36.0,72.0,120.0,1.135154963810445,4.679835400158392,High
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,28,28,2520.0,1.0,1.0,1.8,0.4,1.8,20.0,147.0,5.0,-1.962184694866302,4.03069142127269,High
Himad Abdelli,FRA,"MF,FW",Angers,Ligue 1,23,1999,20,14,1261.0,0.9,1.0,34.0,74.0,84.0,0.06,0.2,0.06,0.8968980669891568,5.682508239137919,High
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,26,26,2336.0,1.0,1.0,0.8,1.5,0.8,28.0,140.0,37.0,0.8968980669891568,6.475779951506506,High
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,20,19,1551.0,0.4,1.0,8.0,1.4,1.1,0.02,10.0,0.06,-0.7709002107598608,-1.25069215785902,Mid
Matthis Abline,FRA,FW,Auxerre,Ligue 1,20,2003,10,7,600.0,2.0,1.0,2.8,1.3,2.0,11.0,1.7,7.0,1.6116687574530215,-2.2747935561601564,Low
Abner,BRA,DF,Betis,La Liga,22,2000,7,5,366.0,1.1,2.0,4.0,16.0,11.0,,,,1.135154963810445,-1.323149520018158,Mid
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,23,2000,28,23,1995.0,6.0,5.0,7.6,2.8,7.6,72.0,57.0,209.0,0.8968980669891568,6.159182711590176,High
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,27,20,1743.0,6.0,3.0,9.5,2.9,9.5,27.0,39.0,100.0,0.4203842733465803,2.55369891696304,High
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,20,17,1605.0,0.6,1.0,23.0,1.2,0.6,0.03,17.0,0.06,-1.962184694866302,-1.0969502850927295,Mid
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,21,15,1328.0,2.0,1.0,0.9,0.9,1.0,31.0,3.3,81.0,-1.0091571075811492,-1.8464049521151744,Low
Che Adams,SCO,FW,Southampton,Premier League,26,1996,25,22,1873.0,5.0,3.0,5.9,2.8,5.9,14.0,30.0,96.0,0.18212737652529207,1.6603607636465665,High
Tyler Adams,USA,MF,Leeds United,Premier League,24,1999,24,24,2156.0,0.1,6.0,19.0,136.0,1.5,0.0,0.06,0.06,0.6586411701678685,10.584478445836922,High
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,22,4,633.0,1.0,2.0,3.4,0.8,3.4,11.0,23.0,57.0,-0.5326433139385727,-4.230797739275122,Low
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,15,13,1185.0,1.0,1.0,0.2,40.0,0.2,7.0,0.08,0.08,0.4203842733465803,0.15369775944162029,Mid
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,16,12,799.0,3.0,2.0,2.5,2.0,2.5,21.0,27.0,79.0,1.3734118606317332,-0.40928911531209344,Mid
Amine Adli,FRA,"FW,MF",Leverkusen,Bundesliga,22,2000,17,9,923.0,2.0,2.0,2.4,2.4,1.0,31.0,3.6,34.0,1.135154963810445,-0.9625198497482355,Mid
